"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HCLTECH","EQ","08-Apr-2016","        828.45","        831.85","        836.00","        825.60","        834.55","        833.10","        831.27","     722892","           600917105.10","      25139"
"HCLTECH","EQ","11-Apr-2016","        833.10","        836.45","        841.95","        824.40","        837.45","        839.30","        832.83","     970273","           808076542.45","      37551"
"HCLTECH","EQ","12-Apr-2016","        839.30","        843.00","        845.00","        831.25","        839.00","        839.65","        837.08","     709686","           594062161.05","      37965"
"HCLTECH","EQ","13-Apr-2016","        839.65","        844.95","        846.50","        835.15","        836.00","        837.55","        839.92","    1318204","          1107189005.85","      40218"
"HCLTECH","EQ","18-Apr-2016","        837.55","        845.05","        860.65","        845.00","        852.90","        853.30","        853.93","    2926522","          2499053021.20","      90927"
"HCLTECH","EQ","20-Apr-2016","        853.30","        862.50","        862.50","        835.50","        841.90","        841.20","        843.66","    1389011","          1171859310.80","      56702"
"HCLTECH","EQ","21-Apr-2016","        841.20","        844.00","        855.35","        838.50","        846.00","        846.25","        849.57","    1117527","           949415042.05","      41235"
"HCLTECH","EQ","22-Apr-2016","        846.25","        838.35","        852.90","        838.35","        846.00","        845.15","        845.94","    1110859","           939719011.10","      34387"
"HCLTECH","EQ","25-Apr-2016","        845.15","        841.25","        850.00","        841.25","        847.35","        845.10","        846.44","     831430","           703756974.45","      20568"
"HCLTECH","EQ","26-Apr-2016","        845.10","        839.05","        855.40","        833.15","        850.95","        849.80","        844.78","    1128563","           953392478.10","      33252"
"HCLTECH","EQ","27-Apr-2016","        849.80","        849.50","        855.90","        831.05","        834.85","        837.55","        839.59","    2275086","          1910148234.55","      54966"
"HCLTECH","EQ","28-Apr-2016","        837.55","        805.00","        823.00","        796.65","        799.30","        799.90","        806.87","    8921956","          7198886132.10","     201481"
"HCLTECH","EQ","29-Apr-2016","        799.90","        794.00","        794.00","        747.20","        750.25","        750.30","        759.31","    8989331","          6825688501.55","     191352"
"HCLTECH","EQ","02-May-2016","        750.30","        750.00","        756.30","        740.10","        742.50","        742.20","        745.19","    2510583","          1870866041.55","      70294"
"HCLTECH","EQ","03-May-2016","        742.20","        747.00","        747.55","        726.05","        728.10","        728.40","        736.03","    3499904","          2576034701.40","     103238"
"HCLTECH","EQ","04-May-2016","        728.40","        727.00","        740.50","        726.25","        735.00","        737.10","        735.89","    3202055","          2356354934.65","      97988"
"HCLTECH","EQ","05-May-2016","        737.10","        736.80","        739.80","        725.50","        731.00","        732.90","        732.76","    2538933","          1860436411.65","      79069"
"HCLTECH","EQ","06-May-2016","        732.90","        732.95","        732.95","        721.00","        721.05","        722.60","        725.26","    3068239","          2225276653.40","      72632"
"HCLTECH","EQ","09-May-2016","        722.60","        724.00","        733.00","        718.25","        719.20","        721.40","        725.47","    3692451","          2678746689.75","      82125"
"HCLTECH","EQ","10-May-2016","        721.40","        723.50","        724.20","        716.10","        717.55","        718.80","        720.72","    2700968","          1946649496.20","      97670"
"HCLTECH","EQ","11-May-2016","        718.80","        711.00","        716.80","        706.40","        707.80","        708.75","        711.70","    4210844","          2996877093.45","      63619"
"HCLTECH","EQ","12-May-2016","        708.75","        711.00","        718.90","        709.50","        714.05","        714.70","        714.35","    1779323","          1271066724.65","      46165"
"HCLTECH","EQ","13-May-2016","        714.70","        718.00","        727.00","        713.00","        721.50","        723.15","        722.66","    3575454","          2583835331.95","      69072"
"HCLTECH","EQ","16-May-2016","        723.15","        725.55","        725.60","        716.15","        718.00","        718.95","        721.41","    1616514","          1166162336.75","      44239"
"HCLTECH","EQ","17-May-2016","        718.95","        720.00","        739.00","        720.00","        731.50","        732.30","        731.83","    3917360","          2866829086.05","      69654"
"HCLTECH","EQ","18-May-2016","        732.30","        732.00","        744.60","        727.00","        741.00","        742.25","        740.03","    2124598","          1572275097.80","      65910"
"HCLTECH","EQ","19-May-2016","        742.25","        738.00","        744.00","        727.50","        728.10","        730.10","        735.27","    1745341","          1283290874.00","      55685"
"HCLTECH","EQ","20-May-2016","        730.10","        729.00","        740.00","        729.00","        736.75","        736.65","        736.09","    1923380","          1415788968.15","      57107"
"HCLTECH","EQ","23-May-2016","        736.65","        738.35","        739.85","        732.00","        732.25","        733.55","        734.40","    1038296","           762526309.05","      66470"
"HCLTECH","EQ","24-May-2016","        733.55","        735.00","        741.45","        730.05","        739.60","        739.25","        737.94","    1395015","          1029434336.60","      47318"
"HCLTECH","EQ","25-May-2016","        739.25","        742.00","        750.40","        740.15","        748.50","        749.35","        747.23","    1686747","          1260386736.90","      56366"
"HCLTECH","EQ","26-May-2016","        749.35","        751.05","        752.00","        736.65","        741.75","        740.90","        742.39","    3231109","          2398751742.15","      69698"
"HCLTECH","EQ","27-May-2016","        740.90","        742.60","        759.70","        742.60","        756.00","        757.60","        753.22","    3045095","          2293628152.65","      65380"
"HCLTECH","EQ","30-May-2016","        757.60","        761.10","        763.70","        745.20","        748.00","        747.55","        750.69","    1593326","          1196097519.95","      59611"
"HCLTECH","EQ","31-May-2016","        747.55","        748.00","        753.35","        736.35","        739.10","        739.80","        740.36","   15048108","         11140952563.20","      77186"
"HCLTECH","EQ","01-Jun-2016","        739.80","        744.00","        744.35","        731.70","        735.80","        734.55","        737.03","    2246778","          1655934630.20","      46325"
"HCLTECH","EQ","02-Jun-2016","        734.55","        735.00","        739.60","        715.50","        721.50","        721.35","        721.53","    4293828","          3098145309.85","      84486"
"HCLTECH","EQ","03-Jun-2016","        721.35","        725.30","        726.45","        720.70","        722.00","        721.90","        723.48","    1503353","          1087642550.20","      54588"
"HCLTECH","EQ","06-Jun-2016","        721.90","        722.00","        728.70","        715.60","        725.25","        724.60","        722.77","    2040535","          1474840837.70","      38041"
"HCLTECH","EQ","07-Jun-2016","        724.60","        728.00","        731.45","        721.60","        727.50","        726.70","        726.57","    2492188","          1810755887.75","      73292"
"HCLTECH","EQ","08-Jun-2016","        726.70","        729.00","        745.00","        728.35","        744.40","        743.50","        738.53","    1900304","          1403440637.25","      70602"
"HCLTECH","EQ","09-Jun-2016","        743.50","        748.70","        755.90","        744.00","        751.10","        753.05","        751.80","    2778851","          2089137657.90","      98310"
"HCLTECH","EQ","10-Jun-2016","        753.05","        750.00","        758.00","        745.95","        750.00","        751.05","        752.68","    5785832","          4354884310.65","      57122"
"HCLTECH","EQ","13-Jun-2016","        751.05","        745.00","        756.00","        741.70","        754.00","        753.65","        751.70","    2065113","          1552350052.35","      64366"
"HCLTECH","EQ","14-Jun-2016","        753.65","        755.00","        764.95","        744.05","        750.10","        752.40","        752.15","    1646371","          1238321005.70","      43171"
"HCLTECH","EQ","15-Jun-2016","        752.40","        751.00","        757.30","        749.95","        755.20","        755.20","        754.78","     979272","           739135820.80","      40375"
"HCLTECH","EQ","16-Jun-2016","        755.20","        752.55","        754.00","        742.50","        746.40","        751.70","        746.73","    1133152","           846154137.35","      59721"
"HCLTECH","EQ","17-Jun-2016","        751.70","        750.00","        755.00","        747.85","        752.15","        753.65","        751.53","    2717006","          2041900312.45","      54566"
"HCLTECH","EQ","20-Jun-2016","        753.65","        749.95","        781.45","        747.85","        769.90","        770.65","        772.06","    4132686","          3190689956.65","     141265"
"HCLTECH","EQ","21-Jun-2016","        770.65","        768.50","        775.80","        766.20","        770.00","        770.10","        770.46","    1466470","          1129856371.80","      61398"
"HCLTECH","EQ","22-Jun-2016","        770.10","        774.00","        774.00","        766.30","        770.05","        770.45","        770.45","    1567059","          1207333746.90","      38679"
"HCLTECH","EQ","23-Jun-2016","        770.45","        770.00","        772.00","        762.00","        770.40","        769.80","        766.69","    1292218","           990736966.80","      49318"
"HCLTECH","EQ","24-Jun-2016","        769.80","        743.95","        746.70","        723.30","        742.00","        741.85","        736.94","    3081689","          2271027640.25","     120409"
"HCLTECH","EQ","27-Jun-2016","        741.85","        730.20","        749.00","        721.00","        736.00","        735.05","        736.30","    1443753","          1063032314.35","      78436"
"HCLTECH","EQ","28-Jun-2016","        735.05","        729.00","        737.50","        711.15","        712.85","        713.20","        724.55","    2842681","          2059671187.25","     102566"
"HCLTECH","EQ","29-Jun-2016","        713.20","        715.70","        729.95","        708.00","        728.95","        728.45","        719.42","    2483234","          1786490523.70","      65712"
"HCLTECH","EQ","30-Jun-2016","        728.45","        729.20","        735.45","        726.40","        729.70","        730.45","        730.72","    2396993","          1751535233.75","      81785"
"HCLTECH","EQ","01-Jul-2016","        730.45","        735.00","        736.80","        730.00","        730.00","        731.70","        732.84","    1011883","           741548739.80","      50053"
"HCLTECH","EQ","04-Jul-2016","        731.70","        735.00","        750.00","        734.05","        747.45","        748.35","        744.87","    1631809","          1215491503.90","      53287"
"HCLTECH","EQ","05-Jul-2016","        748.35","        748.00","        748.00","        732.20","        738.30","        738.40","        738.81","    1867820","          1379967696.50","      44635"
"HCLTECH","EQ","07-Jul-2016","        738.40","        741.00","        741.00","        715.75","        717.30","        717.10","        719.45","    3432568","          2469544582.20","     123012"
"HCLTECH","EQ","08-Jul-2016","        717.10","        715.00","        725.75","        715.00","        722.50","        721.85","        721.73","     851316","           614420879.35","      49418"
"HCLTECH","EQ","11-Jul-2016","        721.85","        722.00","        726.60","        715.05","        718.25","        716.80","        719.05","    2124375","          1527529376.75","      54886"
"HCLTECH","EQ","12-Jul-2016","        716.80","        718.00","        723.30","        716.05","        722.35","        721.35","        718.88","    1614918","          1160939613.15","      51833"
"HCLTECH","EQ","13-Jul-2016","        721.35","        722.50","        724.00","        716.60","        720.00","        720.00","        720.25","    3356550","          2417544818.20","      32637"
"HCLTECH","EQ","14-Jul-2016","        720.00","        721.50","        729.90","        719.60","        729.50","        728.25","        726.08","    1084386","           787354789.50","      26849"
"HCLTECH","EQ","15-Jul-2016","        728.25","        732.90","        740.00","        710.25","        715.45","        717.50","        723.66","    2967531","          2147469798.55","      75705"
"HCLTECH","EQ","18-Jul-2016","        717.50","        722.20","        724.70","        715.00","        723.70","        722.50","        722.05","     928673","           670545154.50","      25153"
"HCLTECH","EQ","19-Jul-2016","        722.50","        717.75","        731.70","        717.75","        731.00","        730.15","        727.96","    1734756","          1262841090.25","      45442"
"HCLTECH","EQ","20-Jul-2016","        730.15","        724.90","        731.90","        716.60","        730.90","        730.00","        724.59","    1222225","           885611538.65","      35104"
"HCLTECH","EQ","21-Jul-2016","        730.00","        730.00","        730.90","        720.15","        725.00","        723.55","        722.40","     885024","           639343652.30","      19412"
"HCLTECH","EQ","22-Jul-2016","        723.55","        725.00","        730.00","        721.60","        729.50","        729.20","        727.51","     914314","           665173389.45","      28218"
"HCLTECH","EQ","25-Jul-2016","        729.20","        729.50","        741.00","        725.00","        740.00","        740.40","        736.09","    1488302","          1095526801.20","      49079"
"HCLTECH","EQ","26-Jul-2016","        740.40","        738.90","        747.40","        736.25","        746.65","        745.25","        743.16","    1349165","          1002650480.60","      30980"
"HCLTECH","EQ","27-Jul-2016","        745.25","        747.00","        754.90","        742.50","        753.40","        753.50","        749.91","    1677289","          1257819950.85","      29257"
"HCLTECH","EQ","28-Jul-2016","        753.50","        757.50","        758.95","        746.10","        747.00","        750.80","        751.16","    2277034","          1710418092.45","      33377"
"HCLTECH","EQ","29-Jul-2016","        750.80","        749.00","        758.00","        745.50","        752.15","        752.95","        753.02","     847328","           638054736.70","      24720"
"HCLTECH","EQ","01-Aug-2016","        752.95","        753.00","        791.00","        752.50","        778.00","        780.45","        773.17","    3026539","          2340028478.85","      77579"
"HCLTECH","EQ","02-Aug-2016","        780.45","        785.85","        804.90","        781.15","        799.55","        800.75","        793.75","    4700089","          3730682954.50","      80878"
"HCLTECH","EQ","03-Aug-2016","        800.75","        857.00","        858.50","        816.35","        825.70","        826.15","        833.11","    9552545","          7958305262.35","     202091"
"HCLTECH","EQ","04-Aug-2016","        826.15","        833.00","        836.00","        820.10","        823.00","        823.85","        827.01","    1485837","          1228797215.85","      57153"
"HCLTECH","EQ","05-Aug-2016","        823.85","        824.80","        831.45","        817.30","        820.60","        821.75","        824.35","    1300356","          1071954956.85","      54692"
"HCLTECH","EQ","08-Aug-2016","        821.75","        822.00","        829.40","        811.60","        818.00","        819.10","        819.13","    1514566","          1240631220.00","      53431"
"HCLTECH","EQ","09-Aug-2016","        819.10","        821.00","        824.60","        811.05","        818.50","        816.85","        818.10","    1240369","          1014751370.35","      32306"
"HCLTECH","EQ","10-Aug-2016","        816.85","        816.75","        820.00","        805.55","        817.95","        818.15","        815.62","    1152698","           940165761.90","      27158"
"HCLTECH","EQ","11-Aug-2016","        818.15","        820.00","        827.45","        813.80","        825.05","        824.55","        822.33","    1739623","          1430544241.30","      33086"
"HCLTECH","EQ","12-Aug-2016","        824.55","        826.05","        835.50","        807.00","        813.65","        814.20","        824.16","    1651570","          1361162212.90","      46670"
